,index,Name,Age,Wage,Skill Moves,Height(cm),Weight(cm),Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes,High,Medium,Low
1863,1863,E. Moretti,37,24000,2.0,182.88,77.112,51.0,16.0,75.0,59.0,27.0,49.0,52.0,33.0,56.0,64.0,48.0,34.0,48.0,64.0,65.0,56.0,73.0,39.0,68.0,39.0,74.0,84.0,31.0,31.0,49.0,73.0,80.0,77.0,76.0,9.0,10.0,10.0,11.0,15.0,1,0,1
1864,1864,H. Behrens,28,24000,3.0,187.96,82.1016,54.0,68.0,81.0,74.0,62.0,69.0,52.0,40.0,68.0,73.0,67.0,69.0,66.0,76.0,62.0,78.0,84.0,92.0,79.0,76.0,77.0,79.0,72.0,69.0,58.0,71.0,73.0,76.0,73.0,6.0,9.0,16.0,6.0,10.0,1,0,0
1865,1865,M. Maignan,22,18000,1.0,190.5,88.9056,18.0,13.0,17.0,36.0,16.0,22.0,14.0,16.0,27.0,24.0,44.0,43.0,39.0,72.0,55.0,19.0,72.0,28.0,76.0,20.0,17.0,24.0,14.0,50.0,15.0,55.0,14.0,12.0,19.0,75.0,72.0,72.0,76.0,76.0,0,1,0
1866,1866,Y. Karamoh,19,24000,3.0,185.42,77.112,67.0,68.0,65.0,70.0,66.0,80.0,67.0,44.0,63.0,79.0,84.0,79.0,73.0,70.0,65.0,69.0,68.0,72.0,61.0,70.0,50.0,29.0,72.0,70.0,65.0,65.0,23.0,31.0,26.0,14.0,10.0,10.0,8.0,12.0,1,1,0
1867,1867,V. Ignatiev,31,1000,3.0,180.34,72.1224,74.0,65.0,67.0,74.0,63.0,73.0,71.0,65.0,71.0,75.0,82.0,80.0,70.0,71.0,68.0,61.0,63.0,74.0,65.0,59.0,65.0,76.0,72.0,73.0,70.0,65.0,72.0,75.0,72.0,9.0,6.0,16.0,13.0,9.0,0,1,0
1868,1868,A. Thomasson,24,16000,4.0,177.8,72.1224,70.0,67.0,63.0,78.0,64.0,74.0,71.0,54.0,73.0,77.0,68.0,74.0,76.0,71.0,83.0,76.0,70.0,67.0,54.0,74.0,62.0,65.0,71.0,76.0,57.0,76.0,57.0,66.0,55.0,14.0,9.0,15.0,9.0,13.0,0,1,0
1869,1869,D. Amartey,23,43000,3.0,185.42,78.9264,62.0,46.0,70.0,77.0,68.0,70.0,44.0,32.0,68.0,70.0,70.0,74.0,65.0,70.0,66.0,75.0,84.0,86.0,82.0,69.0,82.0,74.0,47.0,58.0,51.0,69.0,74.0,79.0,73.0,13.0,13.0,13.0,8.0,15.0,1,1,0
1870,1870,R. Özcan,34,36000,1.0,182.88,78.0192,12.0,14.0,14.0,34.0,13.0,13.0,14.0,19.0,26.0,14.0,52.0,51.0,48.0,73.0,36.0,23.0,71.0,36.0,72.0,17.0,32.0,22.0,10.0,32.0,16.0,53.0,12.0,14.0,13.0,73.0,71.0,71.0,76.0,75.0,0,1,0
1871,1871,A. Donnarumma,27,6000,3.0,180.34,74.844,54.0,76.0,75.0,65.0,69.0,75.0,67.0,60.0,55.0,72.0,82.0,86.0,77.0,64.0,66.0,75.0,60.0,78.0,64.0,71.0,40.0,21.0,76.0,55.0,75.0,71.0,22.0,36.0,37.0,14.0,11.0,8.0,9.0,15.0,1,0,1
1872,1872,Timor,28,11000,3.0,185.42,79.8336,62.0,44.0,59.0,80.0,53.0,64.0,77.0,81.0,77.0,72.0,53.0,54.0,53.0,69.0,62.0,79.0,78.0,75.0,76.0,78.0,77.0,75.0,59.0,75.0,69.0,69.0,65.0,74.0,68.0,8.0,8.0,6.0,16.0,13.0,1,1,0
1873,1873,C. McGregor,25,44000,4.0,175.26,73.9368,66.0,70.0,44.0,79.0,49.0,75.0,73.0,62.0,65.0,77.0,82.0,78.0,86.0,72.0,84.0,67.0,48.0,90.0,67.0,72.0,73.0,70.0,70.0,70.0,56.0,78.0,67.0,69.0,64.0,15.0,10.0,8.0,8.0,13.0,1,0,0
1874,1874,R. Martínez,24,50000,3.0,180.34,84.8232,58.0,74.0,67.0,68.0,64.0,75.0,63.0,27.0,61.0,76.0,78.0,83.0,76.0,74.0,66.0,75.0,78.0,65.0,81.0,65.0,59.0,30.0,74.0,63.0,68.0,67.0,40.0,25.0,23.0,14.0,16.0,15.0,7.0,13.0,0,1,0
1875,1875,V. Buyalskyi,25,1000,3.0,170.18,60.7824,64.0,68.0,38.0,75.0,52.0,75.0,54.0,50.0,69.0,73.0,70.0,72.0,86.0,76.0,88.0,66.0,54.0,78.0,34.0,72.0,47.0,75.0,69.0,75.0,49.0,73.0,65.0,74.0,69.0,14.0,11.0,10.0,11.0,5.0,1,0,0
1876,1876,H. Arter,28,55000,3.0,175.26,69.8544,62.0,66.0,53.0,80.0,63.0,69.0,64.0,70.0,77.0,75.0,65.0,58.0,71.0,72.0,75.0,76.0,68.0,71.0,69.0,73.0,86.0,70.0,69.0,73.0,68.0,73.0,64.0,74.0,67.0,7.0,7.0,11.0,10.0,8.0,1,0,0
1877,1877,A. Mawson,24,38000,2.0,187.96,87.0912,23.0,48.0,79.0,68.0,40.0,56.0,22.0,24.0,66.0,65.0,57.0,58.0,47.0,66.0,49.0,53.0,76.0,56.0,83.0,21.0,69.0,75.0,25.0,43.0,32.0,65.0,76.0,75.0,72.0,14.0,12.0,12.0,14.0,10.0,1,1,0
1878,1878,F. Guilbert,23,17000,3.0,177.8,69.8544,73.0,40.0,74.0,72.0,32.0,66.0,58.0,42.0,64.0,71.0,70.0,75.0,61.0,68.0,73.0,65.0,80.0,78.0,76.0,45.0,62.0,73.0,63.0,56.0,44.0,69.0,68.0,78.0,77.0,8.0,14.0,16.0,13.0,7.0,1,1,0
1879,1879,M. Lemos,22,9000,2.0,187.96,84.8232,50.0,51.0,72.0,70.0,30.0,68.0,32.0,70.0,73.0,75.0,65.0,61.0,67.0,66.0,61.0,69.0,79.0,65.0,74.0,57.0,77.0,77.0,43.0,51.0,41.0,68.0,74.0,77.0,73.0,10.0,6.0,7.0,15.0,13.0,1,1,0
1880,1880,S. Sturaro,25,71000,3.0,180.34,79.8336,68.0,55.0,68.0,77.0,74.0,76.0,64.0,64.0,75.0,77.0,74.0,74.0,74.0,69.0,67.0,78.0,67.0,80.0,78.0,77.0,86.0,75.0,73.0,69.0,68.0,74.0,76.0,78.0,77.0,15.0,10.0,5.0,14.0,11.0,1,0,0
1881,1881,A. Duncan,25,42000,3.0,177.8,78.0192,73.0,50.0,68.0,79.0,58.0,71.0,64.0,50.0,74.0,74.0,77.0,71.0,73.0,77.0,70.0,80.0,78.0,80.0,72.0,75.0,86.0,79.0,68.0,67.0,44.0,76.0,73.0,79.0,74.0,9.0,8.0,8.0,6.0,8.0,1,1,0
1882,1882,Marlon,22,34000,3.0,182.88,79.8336,43.0,40.0,71.0,72.0,33.0,64.0,57.0,46.0,69.0,72.0,63.0,71.0,60.0,65.0,59.0,61.0,64.0,66.0,78.0,36.0,76.0,77.0,36.0,46.0,58.0,66.0,75.0,73.0,75.0,8.0,15.0,16.0,13.0,12.0,0,1,0
1883,1883,M. Isla,30,48000,3.0,175.26,74.844,78.0,41.0,58.0,75.0,58.0,75.0,78.0,64.0,72.0,73.0,80.0,75.0,84.0,74.0,78.0,65.0,66.0,79.0,68.0,66.0,76.0,73.0,70.0,68.0,68.0,76.0,72.0,75.0,75.0,7.0,8.0,7.0,7.0,7.0,1,0,0
1884,1884,Thiago Maia,21,19000,3.0,177.8,78.9264,61.0,46.0,63.0,77.0,53.0,70.0,53.0,52.0,73.0,74.0,69.0,70.0,60.0,74.0,64.0,74.0,74.0,75.0,74.0,65.0,75.0,74.0,61.0,65.0,58.0,75.0,70.0,78.0,72.0,8.0,12.0,14.0,8.0,12.0,0,1,0
1885,1885,Y. Aït Bennasser,21,39000,3.0,182.88,74.844,64.0,56.0,58.0,78.0,62.0,78.0,59.0,56.0,79.0,80.0,73.0,75.0,76.0,67.0,68.0,74.0,71.0,70.0,67.0,67.0,62.0,67.0,68.0,73.0,42.0,72.0,62.0,68.0,67.0,6.0,6.0,8.0,11.0,15.0,0,1,0
1886,1886,O. Toivonen,31,11000,3.0,193.04,78.0192,72.0,78.0,76.0,77.0,74.0,74.0,72.0,73.0,76.0,76.0,51.0,50.0,64.0,74.0,51.0,78.0,55.0,76.0,78.0,76.0,66.0,45.0,74.0,76.0,71.0,75.0,31.0,37.0,39.0,9.0,8.0,14.0,12.0,6.0,0,1,1
1887,1887,J. Urretaviscaya,28,46000,4.0,172.72,66.2256,75.0,68.0,54.0,73.0,66.0,75.0,75.0,70.0,66.0,76.0,84.0,86.0,77.0,72.0,73.0,78.0,66.0,72.0,60.0,67.0,56.0,30.0,73.0,72.0,61.0,73.0,29.0,35.0,30.0,9.0,15.0,12.0,14.0,6.0,0,1,0
1888,1888,Yuri Ribeiro,21,8000,3.0,177.8,73.9368,75.0,46.0,67.0,73.0,53.0,74.0,67.0,50.0,65.0,76.0,78.0,77.0,79.0,76.0,78.0,66.0,75.0,77.0,64.0,46.0,65.0,73.0,70.0,68.0,41.0,73.0,71.0,71.0,71.0,12.0,12.0,13.0,8.0,12.0,1,1,0
1889,1889,N. Tomović,30,15000,2.0,182.88,78.9264,70.0,22.0,68.0,64.0,25.0,62.0,31.0,37.0,66.0,68.0,68.0,68.0,66.0,70.0,66.0,70.0,74.0,69.0,77.0,41.0,80.0,76.0,56.0,46.0,41.0,67.0,70.0,80.0,80.0,8.0,12.0,15.0,12.0,5.0,1,1,0
1890,1890,F. Roncaglia,31,20000,2.0,177.8,76.2048,68.0,38.0,70.0,69.0,25.0,59.0,67.0,52.0,81.0,69.0,61.0,67.0,65.0,72.0,69.0,80.0,80.0,65.0,72.0,73.0,74.0,79.0,51.0,59.0,35.0,70.0,70.0,80.0,78.0,15.0,14.0,15.0,6.0,15.0,1,1,0
1891,1891,R. Botta,28,21000,4.0,175.26,71.2152,73.0,68.0,38.0,71.0,65.0,78.0,76.0,74.0,68.0,75.0,78.0,78.0,81.0,68.0,73.0,75.0,52.0,72.0,67.0,77.0,55.0,33.0,69.0,79.0,64.0,77.0,33.0,27.0,26.0,8.0,9.0,13.0,8.0,7.0,1,0,1
1892,1892,R. Mandragora,21,18000,3.0,182.88,76.2048,65.0,59.0,65.0,77.0,55.0,76.0,66.0,57.0,74.0,75.0,54.0,67.0,73.0,74.0,74.0,66.0,68.0,76.0,77.0,65.0,67.0,74.0,62.0,75.0,52.0,69.0,77.0,75.0,69.0,13.0,14.0,9.0,14.0,16.0,1,1,0
1893,1893,A. Adomah,30,20000,4.0,182.88,73.9368,70.0,73.0,51.0,68.0,59.0,74.0,63.0,53.0,64.0,74.0,86.0,88.0,74.0,71.0,62.0,71.0,66.0,74.0,68.0,64.0,55.0,61.0,74.0,70.0,68.0,73.0,49.0,60.0,38.0,1.0,1.0,1.0,1.0,1.0,0,1,0
1894,1894,D. Samassékou,22,26000,3.0,177.8,68.04,57.0,42.0,59.0,75.0,37.0,68.0,55.0,34.0,71.0,73.0,68.0,78.0,77.0,76.0,77.0,60.0,74.0,80.0,67.0,54.0,70.0,77.0,55.0,72.0,56.0,78.0,73.0,75.0,74.0,5.0,11.0,11.0,14.0,8.0,0,1,0
1895,1895,M. Yoshida,29,40000,2.0,187.96,78.0192,36.0,34.0,74.0,63.0,56.0,60.0,38.0,33.0,52.0,66.0,58.0,61.0,65.0,73.0,57.0,50.0,86.0,66.0,76.0,41.0,66.0,73.0,42.0,50.0,54.0,70.0,73.0,79.0,76.0,12.0,16.0,8.0,6.0,13.0,1,1,0
1896,1896,N. Viergever,28,15000,2.0,182.88,77.112,60.0,42.0,72.0,68.0,41.0,63.0,45.0,39.0,69.0,67.0,67.0,73.0,65.0,71.0,67.0,64.0,76.0,85.0,74.0,48.0,81.0,75.0,55.0,50.0,48.0,68.0,76.0,74.0,76.0,8.0,9.0,11.0,7.0,11.0,1,1,0
1897,1897,R. Amalfitano,28,15000,3.0,175.26,71.2152,63.0,65.0,23.0,76.0,49.0,73.0,61.0,63.0,72.0,74.0,67.0,63.0,68.0,77.0,74.0,56.0,53.0,78.0,46.0,50.0,72.0,78.0,70.0,76.0,62.0,72.0,72.0,75.0,68.0,10.0,6.0,15.0,8.0,12.0,1,1,0
1898,1898,D. Cataldi,23,35000,3.0,180.34,69.8544,70.0,66.0,60.0,79.0,65.0,72.0,67.0,70.0,76.0,77.0,74.0,69.0,73.0,70.0,75.0,75.0,55.0,68.0,65.0,75.0,74.0,71.0,67.0,73.0,52.0,68.0,67.0,69.0,68.0,7.0,10.0,11.0,12.0,9.0,0,1,0
1899,1899,Martín,22,17000,3.0,177.8,72.1224,77.0,28.0,70.0,76.0,23.0,65.0,30.0,40.0,45.0,75.0,74.0,74.0,69.0,69.0,67.0,43.0,58.0,77.0,60.0,35.0,62.0,70.0,60.0,49.0,38.0,59.0,72.0,78.0,77.0,13.0,9.0,9.0,7.0,9.0,1,1,0
1900,1900,Tiago Pinto,30,19000,3.0,177.8,69.8544,73.0,48.0,59.0,72.0,49.0,75.0,68.0,69.0,72.0,76.0,86.0,79.0,84.0,73.0,77.0,76.0,75.0,82.0,64.0,73.0,63.0,72.0,67.0,69.0,51.0,74.0,64.0,74.0,73.0,15.0,6.0,16.0,13.0,8.0,1,1,0
1901,1901,Fernandinho,25,10000,4.0,175.26,64.8648,70.0,67.0,44.0,69.0,58.0,78.0,67.0,60.0,64.0,77.0,80.0,80.0,72.0,74.0,79.0,75.0,87.0,78.0,66.0,71.0,63.0,50.0,75.0,66.0,63.0,74.0,56.0,50.0,49.0,6.0,11.0,11.0,10.0,8.0,1,0,1
1902,1902,C. Cueva,26,0,3.0,167.64000000000001,60.7824,70.0,67.0,53.0,74.0,53.0,76.0,73.0,63.0,68.0,76.0,84.0,83.0,81.0,74.0,82.0,70.0,67.0,63.0,48.0,64.0,48.0,49.0,74.0,69.0,67.0,60.0,44.0,32.0,31.0,8.0,10.0,7.0,10.0,11.0,0,1,0
1903,1903,M. Gaćinović,23,26000,4.0,175.26,68.9472,69.0,72.0,47.0,78.0,61.0,81.0,60.0,51.0,72.0,79.0,78.0,78.0,90.0,73.0,79.0,65.0,64.0,77.0,53.0,63.0,65.0,55.0,69.0,76.0,62.0,65.0,61.0,64.0,65.0,8.0,11.0,13.0,8.0,14.0,1,0,0
1904,1904,G. Shoji,25,11000,2.0,182.88,73.9368,35.0,29.0,72.0,67.0,28.0,47.0,37.0,34.0,70.0,57.0,75.0,86.0,52.0,73.0,69.0,67.0,78.0,82.0,79.0,49.0,74.0,74.0,29.0,31.0,32.0,69.0,78.0,76.0,71.0,9.0,7.0,9.0,12.0,12.0,1,0,0
1905,1905,L. Rigoni,33,37000,3.0,185.42,76.2048,65.0,61.0,69.0,78.0,60.0,70.0,49.0,59.0,76.0,75.0,67.0,68.0,62.0,75.0,58.0,79.0,72.0,74.0,70.0,75.0,76.0,73.0,70.0,73.0,51.0,76.0,69.0,74.0,70.0,15.0,10.0,14.0,11.0,6.0,1,1,0
1906,1906,M. Krmenčík,25,1000,3.0,190.5,89.8128,55.0,77.0,76.0,64.0,66.0,69.0,56.0,53.0,43.0,71.0,72.0,76.0,70.0,72.0,57.0,69.0,58.0,65.0,84.0,65.0,78.0,23.0,78.0,60.0,67.0,59.0,17.0,25.0,20.0,7.0,7.0,9.0,15.0,13.0,1,1,0
1907,1907,M. Mevlja,28,0,2.0,190.5,83.0088,52.0,34.0,73.0,70.0,48.0,55.0,42.0,42.0,72.0,58.0,71.0,69.0,65.0,71.0,52.0,47.0,63.0,71.0,81.0,32.0,63.0,78.0,35.0,54.0,47.0,75.0,78.0,78.0,77.0,9.0,12.0,12.0,14.0,13.0,1,1,0
1908,1908,C. Daniels,31,49000,3.0,177.8,74.844,75.0,55.0,67.0,74.0,53.0,74.0,69.0,68.0,69.0,74.0,74.0,69.0,70.0,74.0,72.0,70.0,76.0,73.0,68.0,62.0,64.0,74.0,71.0,71.0,72.0,70.0,72.0,76.0,75.0,14.0,16.0,13.0,6.0,7.0,1,1,0
1909,1909,K. Stafylidis,24,18000,3.0,177.8,77.112,77.0,48.0,51.0,73.0,68.0,72.0,76.0,81.0,74.0,75.0,76.0,79.0,73.0,74.0,75.0,89.0,70.0,70.0,72.0,85.0,85.0,64.0,41.0,41.0,46.0,66.0,75.0,78.0,80.0,11.0,7.0,15.0,10.0,14.0,1,1,0
1910,1910,Sabin Merino,26,23000,4.0,187.96,74.844,72.0,77.0,80.0,71.0,71.0,80.0,67.0,66.0,62.0,76.0,69.0,78.0,61.0,71.0,44.0,64.0,62.0,53.0,66.0,71.0,60.0,46.0,79.0,73.0,69.0,76.0,61.0,55.0,43.0,13.0,8.0,9.0,9.0,13.0,0,1,0
1911,1911,A. Flint,28,47000,2.0,198.12,83.0088,21.0,55.0,83.0,57.0,38.0,33.0,24.0,25.0,52.0,57.0,47.0,51.0,31.0,72.0,27.0,63.0,74.0,69.0,90.0,26.0,79.0,72.0,52.0,42.0,38.0,60.0,74.0,70.0,74.0,13.0,10.0,8.0,10.0,11.0,1,1,0
1912,1912,Brais Méndez,21,16000,4.0,187.96,78.0192,64.0,73.0,52.0,74.0,65.0,78.0,69.0,56.0,65.0,80.0,71.0,71.0,70.0,74.0,52.0,71.0,65.0,70.0,70.0,72.0,36.0,47.0,75.0,78.0,62.0,71.0,45.0,40.0,32.0,10.0,5.0,10.0,12.0,8.0,1,1,0
1913,1913,Merino,22,22000,3.0,185.42,83.0088,59.0,62.0,75.0,78.0,58.0,76.0,68.0,69.0,74.0,78.0,61.0,62.0,64.0,70.0,60.0,66.0,69.0,68.0,74.0,67.0,73.0,75.0,70.0,76.0,58.0,68.0,58.0,74.0,65.0,9.0,12.0,9.0,13.0,14.0,0,1,0
1914,1914,S. Missiroli,32,15000,3.0,190.5,77.112,69.0,65.0,61.0,77.0,67.0,72.0,68.0,60.0,73.0,77.0,66.0,66.0,63.0,75.0,36.0,69.0,64.0,76.0,62.0,60.0,60.0,73.0,74.0,72.0,64.0,76.0,64.0,72.0,65.0,5.0,13.0,14.0,12.0,14.0,0,1,0
1915,1915,Serantes,28,21000,1.0,182.88,72.1224,17.0,18.0,19.0,21.0,13.0,16.0,22.0,13.0,39.0,25.0,55.0,65.0,58.0,71.0,41.0,44.0,72.0,44.0,52.0,14.0,27.0,11.0,13.0,43.0,18.0,56.0,25.0,20.0,23.0,80.0,72.0,74.0,71.0,76.0,0,1,0
1916,1916,V. Guzmán,23,24000,3.0,175.26,78.0192,63.0,70.0,77.0,78.0,48.0,73.0,63.0,67.0,74.0,74.0,75.0,76.0,72.0,75.0,74.0,75.0,78.0,81.0,64.0,74.0,66.0,69.0,69.0,71.0,66.0,70.0,71.0,65.0,67.0,14.0,8.0,15.0,10.0,8.0,0,1,0
1917,1917,D. Biseswar,30,1000,3.0,175.26,78.9264,71.0,66.0,42.0,74.0,65.0,80.0,85.0,69.0,72.0,76.0,74.0,73.0,77.0,72.0,80.0,75.0,70.0,63.0,63.0,76.0,54.0,31.0,70.0,72.0,40.0,68.0,42.0,24.0,23.0,15.0,7.0,7.0,12.0,15.0,0,1,0
1918,1918,E. Mas,29,21000,3.0,180.34,81.1944,64.0,55.0,72.0,70.0,60.0,71.0,64.0,50.0,67.0,74.0,78.0,79.0,73.0,72.0,64.0,71.0,79.0,87.0,76.0,65.0,76.0,76.0,72.0,69.0,57.0,70.0,66.0,73.0,76.0,7.0,7.0,15.0,14.0,16.0,1,1,0
1919,1919,Nuno Pinto,31,7000,3.0,172.72,64.8648,76.0,49.0,56.0,73.0,44.0,72.0,73.0,74.0,68.0,74.0,76.0,73.0,78.0,79.0,76.0,67.0,69.0,82.0,60.0,59.0,69.0,73.0,66.0,60.0,58.0,70.0,70.0,75.0,73.0,15.0,13.0,13.0,6.0,9.0,0,1,0
1920,1920,Carlos Mané,24,11000,4.0,172.72,67.1328,69.0,70.0,64.0,71.0,72.0,80.0,81.0,42.0,60.0,74.0,84.0,84.0,89.0,73.0,90.0,77.0,66.0,63.0,37.0,72.0,55.0,49.0,79.0,74.0,65.0,73.0,38.0,34.0,33.0,16.0,14.0,10.0,9.0,11.0,0,1,0
1921,1921,Borja Valle,25,11000,3.0,177.8,72.1224,75.0,79.0,55.0,71.0,69.0,77.0,69.0,58.0,66.0,76.0,73.0,74.0,74.0,76.0,59.0,79.0,72.0,72.0,65.0,71.0,42.0,40.0,79.0,60.0,65.0,63.0,56.0,39.0,40.0,11.0,9.0,6.0,8.0,13.0,1,1,0
1922,1922,Zeca,29,21000,3.0,182.88,67.1328,69.0,60.0,55.0,75.0,65.0,72.0,61.0,60.0,75.0,74.0,75.0,77.0,74.0,80.0,76.0,69.0,65.0,90.0,70.0,62.0,82.0,77.0,65.0,68.0,55.0,77.0,77.0,76.0,75.0,10.0,10.0,9.0,13.0,6.0,1,0,0
1923,1923,C. Toselli,30,4000,1.0,182.88,74.844,20.0,20.0,17.0,41.0,24.0,16.0,18.0,19.0,32.0,33.0,56.0,43.0,45.0,68.0,40.0,30.0,76.0,44.0,70.0,20.0,45.0,30.0,20.0,55.0,20.0,58.0,20.0,19.0,14.0,75.0,74.0,69.0,76.0,76.0,0,1,0
1924,1924,M. Bizot,27,11000,1.0,193.04,84.8232,20.0,15.0,16.0,28.0,13.0,12.0,20.0,15.0,33.0,32.0,45.0,47.0,50.0,74.0,40.0,26.0,67.0,32.0,64.0,14.0,39.0,17.0,13.0,47.0,36.0,60.0,11.0,12.0,14.0,79.0,72.0,63.0,71.0,76.0,0,1,0
1925,1925,K. Ayhan,23,22000,3.0,182.88,83.916,68.0,35.0,69.0,74.0,41.0,64.0,82.0,74.0,71.0,68.0,65.0,66.0,67.0,75.0,64.0,83.0,86.0,68.0,77.0,71.0,75.0,74.0,50.0,65.0,47.0,75.0,75.0,76.0,73.0,16.0,10.0,8.0,14.0,10.0,1,1,0
1926,1926,Ricardo Ferreira,25,12000,2.0,190.5,76.2048,29.0,26.0,77.0,65.0,34.0,41.0,32.0,32.0,53.0,61.0,50.0,50.0,51.0,71.0,49.0,46.0,44.0,60.0,77.0,22.0,76.0,77.0,51.0,33.0,43.0,75.0,81.0,78.0,75.0,16.0,15.0,8.0,12.0,6.0,0,1,1
1927,1927,N. Roux,30,24000,2.0,182.88,81.1944,66.0,74.0,84.0,70.0,74.0,74.0,65.0,61.0,57.0,74.0,69.0,73.0,69.0,70.0,76.0,74.0,79.0,66.0,76.0,74.0,52.0,32.0,75.0,64.0,75.0,74.0,43.0,30.0,16.0,11.0,13.0,6.0,7.0,12.0,1,1,0
1928,1928,Hernâni,26,13000,4.0,177.8,68.9472,72.0,64.0,55.0,70.0,67.0,80.0,74.0,59.0,55.0,77.0,92.0,92.0,86.0,73.0,70.0,68.0,62.0,60.0,59.0,65.0,42.0,21.0,75.0,67.0,68.0,78.0,38.0,19.0,23.0,8.0,11.0,7.0,8.0,6.0,0,1,1
1929,1929,M. Çağıran,25,13000,3.0,180.34,82.1016,72.0,63.0,76.0,77.0,52.0,74.0,71.0,74.0,78.0,75.0,69.0,68.0,69.0,73.0,61.0,80.0,82.0,79.0,78.0,74.0,74.0,73.0,65.0,73.0,66.0,74.0,69.0,71.0,65.0,9.0,11.0,8.0,11.0,7.0,0,1,0
1930,1930,W. Morgan,34,50000,2.0,185.42,101.1528,17.0,19.0,76.0,55.0,23.0,58.0,14.0,18.0,47.0,61.0,30.0,30.0,28.0,76.0,48.0,52.0,73.0,50.0,87.0,35.0,79.0,75.0,39.0,49.0,17.0,68.0,76.0,76.0,75.0,14.0,10.0,6.0,7.0,8.0,1,1,0
1931,1931,J. Alonso,25,25000,2.0,182.88,82.1016,68.0,54.0,73.0,65.0,39.0,63.0,41.0,39.0,69.0,68.0,64.0,74.0,66.0,69.0,62.0,58.0,73.0,76.0,85.0,55.0,79.0,74.0,55.0,56.0,41.0,70.0,69.0,74.0,73.0,15.0,11.0,15.0,9.0,7.0,0,1,0
1932,1932,M. Wakaso,27,22000,3.0,170.18,72.1224,74.0,55.0,50.0,76.0,76.0,75.0,66.0,57.0,71.0,76.0,87.0,87.0,81.0,77.0,85.0,85.0,85.0,81.0,74.0,69.0,85.0,74.0,71.0,71.0,36.0,65.0,77.0,73.0,72.0,10.0,16.0,7.0,15.0,14.0,1,0,0
1933,1933,K. Traoré,26,0,4.0,177.8,74.844,66.0,64.0,51.0,74.0,61.0,75.0,72.0,73.0,71.0,76.0,81.0,72.0,82.0,74.0,67.0,55.0,51.0,71.0,54.0,62.0,57.0,41.0,77.0,76.0,71.0,78.0,26.0,33.0,32.0,13.0,8.0,10.0,9.0,10.0,1,0,1
1934,1934,Y. Mvogo,24,25000,1.0,190.5,89.8128,13.0,10.0,24.0,24.0,19.0,18.0,14.0,20.0,22.0,27.0,43.0,41.0,58.0,71.0,57.0,22.0,71.0,28.0,74.0,14.0,37.0,13.0,13.0,58.0,20.0,30.0,28.0,18.0,12.0,79.0,73.0,70.0,69.0,78.0,0,1,0
1935,1935,Kaíquão Castro,34,20000,1.0,190.5,87.9984,9.0,8.0,10.0,20.0,9.0,9.0,8.0,7.0,16.0,21.0,34.0,38.0,31.0,72.0,41.0,23.0,67.0,41.0,81.0,7.0,36.0,22.0,11.0,71.0,19.0,67.0,23.0,10.0,10.0,77.0,76.0,61.0,72.0,73.0,0,1,0
1936,1936,K. Fofana,26,0,3.0,187.96,81.1944,66.0,75.0,72.0,74.0,74.0,72.0,63.0,59.0,58.0,75.0,59.0,77.0,63.0,72.0,60.0,78.0,69.0,83.0,77.0,73.0,67.0,40.0,72.0,69.0,74.0,83.0,23.0,37.0,46.0,7.0,11.0,7.0,11.0,14.0,0,1,0
1937,1937,P. Hurtado,27,18000,4.0,175.26,72.1224,70.0,72.0,72.0,74.0,70.0,75.0,68.0,72.0,71.0,76.0,80.0,83.0,75.0,70.0,73.0,76.0,80.0,65.0,59.0,71.0,42.0,45.0,72.0,74.0,69.0,72.0,48.0,34.0,28.0,7.0,12.0,16.0,11.0,9.0,0,1,1
1938,1938,D. Bocanegra,31,6000,2.0,182.88,76.2048,73.0,42.0,72.0,72.0,46.0,61.0,65.0,78.0,58.0,72.0,69.0,74.0,59.0,76.0,56.0,72.0,79.0,87.0,74.0,73.0,76.0,69.0,53.0,61.0,52.0,68.0,83.0,72.0,68.0,13.0,13.0,7.0,7.0,14.0,0,1,0
1939,1939,Melero,24,17000,3.0,182.88,77.112,55.0,74.0,75.0,74.0,52.0,70.0,68.0,67.0,73.0,75.0,59.0,63.0,61.0,73.0,67.0,71.0,68.0,73.0,69.0,73.0,69.0,76.0,70.0,76.0,78.0,65.0,72.0,75.0,72.0,13.0,7.0,9.0,16.0,12.0,0,1,0
1940,1940,Borja Bastón,25,29000,3.0,190.5,82.1016,51.0,75.0,76.0,68.0,76.0,66.0,68.0,46.0,54.0,74.0,51.0,62.0,62.0,73.0,34.0,78.0,53.0,63.0,91.0,72.0,61.0,23.0,78.0,65.0,72.0,70.0,55.0,32.0,24.0,6.0,9.0,10.0,9.0,13.0,0,1,1
1941,1941,O. Murillo,30,25000,2.0,182.88,77.112,59.0,42.0,75.0,61.0,22.0,46.0,35.0,27.0,65.0,56.0,66.0,72.0,54.0,70.0,43.0,43.0,85.0,66.0,83.0,35.0,76.0,79.0,29.0,44.0,32.0,70.0,71.0,77.0,66.0,13.0,11.0,10.0,16.0,14.0,1,1,0
